Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
java,com.fairshare.service,AuthService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.fairshare.model.User
java,com.fairshare.service,ExpenseService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.fairshare.model.ExpenseSplit; com.fairshare.model.Expense
java,com.fairshare.service,ExpenseService,Law of Demeter violation,The tool detected the smell in this method (getBalanceSheetData) because the method voilates the law of Demeter. The long chain of method invocations is : com.fairshare.model.Expense.getPaidBy; com.fairshare.model.User.getId
java,com.fairshare.service,ExpenseService,Law of Demeter violation,The tool detected the smell in this method (getBalanceSheetData) because the method voilates the law of Demeter. The long chain of method invocations is : com.fairshare.model.Expense.getPaidBy; com.fairshare.model.User.getId
java,com.fairshare.service,ExpenseService,Law of Demeter violation,The tool detected the smell in this method (getUserBalances) because the method voilates the law of Demeter. The long chain of method invocations is : com.fairshare.model.Expense.getPaidBy; com.fairshare.model.User.getId
java,com.fairshare.service,ExpenseService,Law of Demeter violation,The tool detected the smell in this method (calculateDirectDebts) because the method voilates the law of Demeter. The long chain of method invocations is : com.fairshare.model.Expense.getPaidBy; com.fairshare.model.User.getId
java,com.fairshare.service,GroupService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.fairshare.model.GroupMember; com.fairshare.model.Group
java,com.fairshare.service,GroupService,Law of Demeter violation,The tool detected the smell in this method (findMembership) because the method voilates the law of Demeter. The long chain of method invocations is : com.fairshare.model.User.getId; com.fairshare.model.GroupMember.getUser
