Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
java,com.fairshare.config,WebConfig,addCorsMappings,Long Statement,The length of the statement "registry.addMapping("/**").allowedOrigins("http://localhost:5173").allowedMethods("GET"`"POST"`"PUT"`"DELETE"`"OPTIONS").allowedHeaders("*").allowCredentials(true).maxAge(3600);" is 177.,10
java,com.fairshare.config,WebConfig,addCorsMappings,Magic Number,The method contains a magic number: 3600,10
java,com.fairshare.controller,AuthController,updateZelleInfo,Long Statement,The length of the statement "return ResponseEntity.ok(Map.of("message"`"Zelle info updated successfully"`"userId"`updatedUser.getId()`"zelleEmail"`updatedUser.getZelleEmail() != null ? updatedUser.getZelleEmail() : ""`"zellePhone"`updatedUser.getZellePhone() != null ? updatedUser.getZellePhone() : ""`"hasZelleQr"`Boolean.TRUE.equals(updatedUser.getHasZelleQr())));" is 337.,54
java,com.fairshare.controller,AuthController,updateZelleInfo,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error updating Zelle info: " + e.getMessage()));" is 132.,54
java,com.fairshare.controller,AuthController,uploadZelleQr,Long Statement,The length of the statement "return ResponseEntity.ok(Map.of("message"`"Zelle QR uploaded successfully"`"userId"`userId`"fileName"`originalName != null ? originalName : ""`"contentType"`contentType != null ? contentType : ""`"hasZelleQr"`true));" is 216.,81
java,com.fairshare.controller,AuthController,uploadZelleQr,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error uploading Zelle QR: " + e.getMessage()));" is 131.,81
java,com.fairshare.controller,AuthController,getZelleInfo,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error fetching Zelle info: " + e.getMessage()));" is 132.,116
java,com.fairshare.controller,AuthController,getZelleQr,Long Statement,The length of the statement "String contentType=user.getZelleQrContentType() != null ? user.getZelleQrContentType() : MediaType.APPLICATION_OCTET_STREAM_VALUE;" is 130.,133
java,com.fairshare.controller,AuthController,getZelleQr,Long Statement,The length of the statement "String fileName=(user.getZelleQrFileName() != null && !user.getZelleQrFileName().isBlank()) ? user.getZelleQrFileName() : ("user_" + userId + "_zelle_qr");" is 155.,133
java,com.fairshare.controller,AuthController,getZelleQr,Long Statement,The length of the statement "return ResponseEntity.ok().contentType(MediaType.parseMediaType(contentType)).header(HttpHeaders.CONTENT_DISPOSITION`"inline; filename=\"" + fileName + "\"").body(resource);" is 173.,133
java,com.fairshare.controller,AuthController,getZelleQr,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error fetching Zelle QR: " + e.getMessage()));" is 130.,133
java,com.fairshare.controller,AuthController,deleteZelleQr,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error deleting Zelle QR: " + e.getMessage()));" is 130.,170
java,com.fairshare.controller,ExpenseController,addExpense,Complex Method,Cyclomatic complexity of the method is 13,30
java,com.fairshare.controller,ExpenseController,addExpense,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.CREATED).body(Map.of("message"`"Expense added successfully"`"expenseId"`savedExpense.getId()));" is 135.,30
java,com.fairshare.controller,ExpenseController,addExpense,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error adding expense: " + e.getMessage()));" is 127.,30
java,com.fairshare.controller,ExpenseController,addExpense,Magic Number,The method contains a magic number: 100.0,30
java,com.fairshare.controller,ExpenseController,addExpense,Magic Number,The method contains a magic number: 0.0001,30
java,com.fairshare.controller,ExpenseController,getExpenseSplits,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error fetching expense splits: " + e.getMessage()));" is 136.,111
java,com.fairshare.controller,ExpenseController,editExpense,Complex Method,Cyclomatic complexity of the method is 13,154
java,com.fairshare.controller,ExpenseController,editExpense,Long Statement,The length of the statement "return ResponseEntity.badRequest().body(Map.of("error"`"Percentages contains userId not in selected participants: " + uid));" is 124.,154
java,com.fairshare.controller,ExpenseController,editExpense,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error updating expense: " + e.getMessage()));" is 129.,154
java,com.fairshare.controller,ExpenseController,editExpense,Magic Number,The method contains a magic number: 100.0,154
java,com.fairshare.controller,ExpenseController,editExpense,Magic Number,The method contains a magic number: 0.0001,154
java,com.fairshare.controller,ExpenseController,deleteExpense,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error deleting expense: " + e.getMessage()));" is 129.,223
java,com.fairshare.controller,ExpenseController,uploadReceipt,Long Statement,The length of the statement "return ResponseEntity.ok(Map.of("message"`"Receipt uploaded successfully"`"expenseId"`id`"fileName"`originalName`"contentType"`contentType));" is 141.,236
java,com.fairshare.controller,ExpenseController,uploadReceipt,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error uploading receipt: " + e.getMessage()));" is 130.,236
java,com.fairshare.controller,ExpenseController,getReceiptInfo,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error fetching receipt info: " + e.getMessage()));" is 134.,265
java,com.fairshare.controller,ExpenseController,downloadReceipt,Long Statement,The length of the statement "String contentType=expense.getReceiptContentType() != null ? expense.getReceiptContentType() : MediaType.APPLICATION_OCTET_STREAM_VALUE;" is 136.,278
java,com.fairshare.controller,ExpenseController,downloadReceipt,Long Statement,The length of the statement "String fileName=(expense.getReceiptFileName() != null && !expense.getReceiptFileName().isBlank()) ? expense.getReceiptFileName() : ("expense_" + id + "_receipt");" is 162.,278
java,com.fairshare.controller,ExpenseController,downloadReceipt,Long Statement,The length of the statement "return ResponseEntity.ok().contentType(MediaType.parseMediaType(contentType)).header(HttpHeaders.CONTENT_DISPOSITION`"inline; filename=\"" + fileName + "\"").body(resource);" is 173.,278
java,com.fairshare.controller,ExpenseController,downloadReceipt,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error downloading receipt: " + e.getMessage()));" is 132.,278
java,com.fairshare.controller,ExpenseController,deleteReceipt,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error deleting receipt: " + e.getMessage()));" is 129.,311
java,com.fairshare.controller,ExpenseController,getSettlementPlan,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error generating settlement plan: " + e.getMessage()));" is 139.,328
java,com.fairshare.controller,ExpenseController,clearAllDebts,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error clearing debts: " + e.getMessage()));" is 127.,342
java,com.fairshare.controller,ExpenseController,getBalanceSheet,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error fetching balance sheet: " + e.getMessage()));" is 135.,357
java,com.fairshare.controller,ExpenseController,exportBalanceSheetCsv,Long Statement,The length of the statement "return ResponseEntity.ok().contentType(MediaType.parseMediaType("text/csv")).header(HttpHeaders.CONTENT_DISPOSITION`"attachment; filename=\"group_" + groupId + "_balance_sheet.csv\"").body(resource);" is 199.,371
java,com.fairshare.controller,ExpenseController,exportBalanceSheetCsv,Long Statement,The length of the statement "return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(Map.of("error"`"Error exporting CSV: " + e.getMessage()));" is 126.,371
java,com.fairshare.service,AuthService,login,Long Statement,The length of the statement "return userRepo.findByEmailAndPassword(req.getEmail()`req.getPassword()).orElseThrow(() -> new RuntimeException("Invalid credentials"));" is 136.,30
java,com.fairshare.service,ExpenseService,uploadReceipt,Long Statement,The length of the statement "Expense expense=expenseRepo.findById(expenseId).orElseThrow(() -> new RuntimeException("Expense not found with id: " + expenseId));" is 131.,74
java,com.fairshare.service,ExpenseService,getReceiptInfo,Long Statement,The length of the statement "Expense expense=expenseRepo.findById(expenseId).orElseThrow(() -> new RuntimeException("Expense not found with id: " + expenseId));" is 131.,100
java,com.fairshare.service,ExpenseService,getExpenseWithReceipt,Long Statement,The length of the statement "return expenseRepo.findById(expenseId).orElseThrow(() -> new RuntimeException("Expense not found with id: " + expenseId));" is 122.,113
java,com.fairshare.service,ExpenseService,deleteReceipt,Long Statement,The length of the statement "Expense expense=expenseRepo.findById(expenseId).orElseThrow(() -> new RuntimeException("Expense not found with id: " + expenseId));" is 131.,119
